GPS                          M1       M2       Distance      Exp. SNR    Rec. SNR  Type                            
---------------------------  -------  -------  ----------  ----------  ----------  --------------------------------
1126270499.0-1126270500.94   N/A      N/A      N/A               8.51       10.45  white noise burst               
1126280499.0-1126280500.94   N/A      N/A      N/A              10.19       11.88  white noise burst               
1126300499.56-1126300500.5   N/A      N/A      N/A              15.11       14.81  sine-gaussian burst             
1126310499.75-1126310500.25  N/A      N/A      N/A              12.14       11.65  sine-gaussian burst             
1127173426.81-1127173427.0   26.6637  23.2229  154.118           9.34        9.87  cbc                             
1127175853.81-1127175854.0   26.6637  23.2229  154.118          19.25       18.40  cbc                             
1127179822.81-1127179823.0   26.6637  23.2229  154.118          18.94       17.54  cbc                             
1127783819.0-1127783820.44   38.3653  30.4006  257.167          19.23       20.09  cbc                             
1127789373.19-1127789374.44  46.0847  32.5111  329.916          19.34       18.84  cbc                             
1128124331.0-1128124332.44   45.3337  25.7209  490.615          22.35       24.78  cbc                             
1128125231.25-1128125232.44  39.5782  38.8508  365.992          21.56       22.44  cbc                             
1128126131.19-1128126132.44  40.7141  36.9001  309.811          20.36       19.82  cbc                             
1128127031.19-1128127032.44  42.7967  33.442   345.968          20.90       20.82  cbc                             
1128127931.0-1128127932.44   37.807   30.9663  369.545          20.53       22.78  cbc                             
1128128831.06-1128128832.44  42.0428  28.8779  528.409          22.02       21.38  cbc                             
1128129731.19-1128129732.44  39.346   37.9122  514.093          21.08       21.34  cbc                             
1128130631.06-1128130632.44  42.335   28.8219  314.463          22.14       23.17  cbc                             
1128657862.69-1128657863.0   70.0     15.0     306.654          15.28       17.03  cbc                             
1128658222.75-1128658223.0   65.0     20.0     343.326           5.60        6.04  cbc                             
1128658582.81-1128658583.0   60.0     25.0     418.235           8.39        8.82  cbc                             
1128658942.75-1128658943.0   68.0     17.0     391.5            13.15       15.42  cbc                             
1128659302.75-1128659303.0   64.0     16.0     443.559          15.10       15.79  cbc                             
1128666022.88-1128666023.0   38.0     38.0     521.17            3.80        3.93  cbc                             
1128666382.88-1128666383.0   38.0     38.0     246.01           24.48       24.83  cbc                             
1128666742.88-1128666743.0   38.0     38.0     350.516          20.65       19.59  cbc                             
1128667102.88-1128667103.0   38.0     38.0     344.427          32.73       32.62  cbc                             
1128667462.88-1128667463.0   38.0     38.0     281.017          42.56       42.67  cbc                             
1128667822.62-1128667823.0   56.0     14.0     439.801          13.95       15.70  cbc                             
1128668182.88-1128668183.0   38.0     38.0     428.231          33.27       36.29  cbc                             
1128668542.88-1128668543.0   38.0     38.0     552.359          24.56       27.61  cbc                             
1128668902.75-1128668903.0   57.0     19.0     452.946          22.94       23.25  cbc                             
1128669262.88-1128669263.0   63.0     21.0     456.288          17.20       16.82  cbc                             
1128669622.88-1128669623.0   38.0     38.0     505.071          17.47       18.31  cbc                             
1128669982.69-1128669983.0   54.0     18.0     372.839          27.44       28.63  cbc                             
1128670342.88-1128670343.0   58.0     29.0     356.768          31.57       31.69  cbc                             
1128670702.88-1128670703.0   54.0     27.0     348.656          33.62       33.90  cbc                             
1128671062.75-1128671063.0   48.0     24.0     499.156          30.10       31.43  cbc                             
1128671422.88-1128671423.0   44.0     44.0     563.686          28.73       28.16  cbc                             
1128671782.88-1128671783.0   42.0     42.0     552.469          27.21       28.19  cbc                             
1128672502.81-1128672503.0   38.0     38.0     598.143          25.29       25.70  cbc                             
1131397645.0-1131397646.44   38.3653  30.4006  257.167          20.32       22.20  cbc                             
1134345930.0-1134345930.44   37.0647  11.6518  962.68            5.43        7.10  cbc                             
1134353734.25-1134353734.44  72.3045  10.0137  2014.15           3.39        4.18  cbc                             
1134354934.25-1134354934.44  67.5326  13.2736  1318.9            3.74        4.40  cbc                             
1134359806.06-1134359806.44  52.3578  9.74396  1363.24           2.57        4.50  cbc                             
1134361005.94-1134361006.44  27.7955  15.8913  1748.45           5.42        4.22  cbc                             
1134362206.06-1134362206.44  36.6656  13.6796  1543.77           4.25        4.38  cbc                             
1134363406.0-1134363406.44   43.1686  10.0676  1375.03           3.98        4.08  cbc                             
1134364606.19-1134364606.44  47.2925  14.4787  1594.67           4.21        4.90  cbc                             
1134581196.0-1134581196.94   N/A      N/A      N/A              14.12       16.34  white noise burst               
1136584229.0-1136584236.69   18.0386  7.17418  442.268          10.17       11.37  cbc                             
1136586138.62-1136586146.69  21.9548  6.14829  405.78           11.93       13.02  cbc                             
1136587238.56-1136587246.69  23.4013  5.79737  355.013          10.52       12.47  cbc                             
1136588338.0-1136588345.62   14.8674  8.47159  456.592           8.39        7.25  cbc                             
1136589438.19-1136589445.62  11.7866  10.5907  241.487          10.73       10.08  cbc                             
1136590538.12-1136590545.62  14.4075  8.69776  266.461           8.61        7.53  cbc                             
1136591638.5-1136591646.69   17.9209  7.26288  576.033           8.77       10.53  cbc                             
1136592738.69-1136592746.69  22.77    6.00354  432.646          10.79       12.72  cbc                             
1136593838.69-1136593847.69  24.146   5.66914  440.765           9.27       11.70  cbc                             
1136594938.62-1136594946.69  22.6539  5.95035  520.89            8.38        8.54  cbc                             
1136953817.0-1136953893.25   N/A      N/A      N/A             252.62      261.79  long duration burst             
1136955017.06-1136955093.25  N/A      N/A      N/A              91.24       94.07  long duration burst             
1136959817.06-1136959893.25  N/A      N/A      N/A              83.55       87.77  long duration burst             
1136961017.0-1136961093.25   N/A      N/A      N/A             247.92      255.61  long duration burst             
1136962217.06-1136962293.25  N/A      N/A      N/A              91.40       93.68  long duration burst             
