GPS                          M1       M2       Distance      Exp. SNR    Rec. SNR  Type                            
---------------------------  -------  -------  ----------  ----------  ----------  --------------------------------
1127175853.81-1127175854.0   26.6637  23.2229  154.118          18.92       18.59  cbc                             
1127179822.81-1127179823.0   26.6637  23.2229  154.118          18.88       18.32  cbc                             
1127181622.81-1127181623.0   26.6637  23.2229  154.118          19.04       19.95  cbc                             
1127183422.81-1127183423.0   26.6637  23.2229  154.118          19.16       19.19  cbc                             
1127783819.0-1127783820.44   38.3653  30.4006  257.167          12.75       13.68  cbc                             
1127784866.0-1127784867.44   45.3337  25.7209  490.615          14.28       14.72  cbc                             
1127789373.19-1127789374.44  46.0847  32.5111  329.916          14.46       15.60  cbc                             
1128124331.0-1128124332.44   45.3337  25.7209  490.615          14.74       15.73  cbc                             
1128125231.25-1128125232.44  39.5782  38.8508  365.992          15.27       16.11  cbc                             
1128126131.19-1128126132.44  40.7141  36.9001  309.811          15.70       16.21  cbc                             
1128127031.12-1128127032.44  42.7967  33.442   345.968          15.18       14.49  cbc                             
1128127931.0-1128127932.44   37.807   30.9663  369.545          15.99       17.72  cbc                             
1128128831.0-1128128832.44   42.0428  28.8779  528.409          13.35       14.22  cbc                             
1128129731.19-1128129732.44  39.346   37.9122  514.093          14.27       16.45  cbc                             
1128130631.06-1128130632.44  42.335   28.8219  314.463          14.67       16.40  cbc                             
1128657862.69-1128657863.0   70.0     15.0     306.654           9.96        9.48  cbc                             
1128658222.75-1128658223.0   65.0     20.0     343.326           0.58        4.34  cbc                             
1128658582.81-1128658583.0   60.0     25.0     418.235           9.15        8.59  cbc                             
1128658942.75-1128658943.0   68.0     17.0     391.5            13.68       13.82  cbc                             
1128659302.75-1128659303.0   64.0     16.0     443.559          14.30       11.98  cbc                             
1128659662.62-1128659663.0   56.0     14.0     439.801          14.91       15.93  cbc                             
1128666022.88-1128666023.0   38.0     38.0     521.17            0.36        4.37  cbc                             
1128666382.88-1128666383.0   38.0     38.0     246.01           22.39       23.75  cbc                             
1128666742.88-1128666743.0   38.0     38.0     350.516          22.92       23.85  cbc                             
1128667102.88-1128667103.0   38.0     38.0     344.427          25.37       25.10  cbc                             
1128667462.88-1128667463.0   38.0     38.0     281.017          25.21       24.66  cbc                             
1128667822.62-1128667823.0   56.0     14.0     439.801          13.14       13.05  cbc                             
1128668182.88-1128668183.0   38.0     38.0     428.231          20.13       21.12  cbc                             
1128668542.88-1128668543.0   38.0     38.0     552.359          18.16       18.59  cbc                             
1128668902.75-1128668903.0   57.0     19.0     452.946          17.40       17.31  cbc                             
1128669262.88-1128669263.0   63.0     21.0     456.288          15.89       14.96  cbc                             
1128669622.88-1128669623.0   38.0     38.0     505.071          12.64       13.36  cbc                             
1128669982.69-1128669983.0   54.0     18.0     372.839          19.06       20.10  cbc                             
1128670342.88-1128670343.0   58.0     29.0     356.768          20.09       21.67  cbc                             
1128670702.88-1128670703.0   54.0     27.0     348.656          19.91       20.19  cbc                             
1128671062.75-1128671063.0   48.0     24.0     499.156          18.93       18.50  cbc                             
1128671422.88-1128671423.0   44.0     44.0     563.686          20.05       20.48  cbc                             
1128671782.88-1128671783.0   42.0     42.0     552.469          20.10       22.20  cbc                             
1128672502.81-1128672503.0   38.0     38.0     598.143          19.30       18.72  cbc                             
1134345930.0-1134345930.44   37.0647  11.6518  962.68            4.08        5.24  cbc                             
1134348934.06-1134348934.44  52.3578  9.74396  1363.24           1.99        4.52  cbc                             
1134353734.25-1134353734.44  72.3045  10.0137  2014.15           2.46        4.09  cbc                             
1134354934.25-1134354934.44  67.5326  13.2736  1318.9            2.86        4.30  cbc                             
1134356134.19-1134356134.44  60.9119  11.1782  1791.8            3.29        3.89  cbc                             
1134357334.0-1134357334.44   26.3037  17.0182  1767.06           3.39        4.36  cbc                             
1134359806.06-1134359806.44  52.3578  9.74396  1363.24           2.04        4.13  cbc                             
1134361005.94-1134361006.44  27.7955  15.8913  1748.45           4.02        5.34  cbc                             
1134362206.06-1134362206.44  36.6656  13.6796  1543.77           2.91        4.19  cbc                             
1134363406.0-1134363406.44   43.1686  10.0676  1375.03           2.97        3.87  cbc                             
1134364606.19-1134364606.44  47.2925  14.4787  1594.67           2.88        4.30  cbc                             
1134581196.0-1134581196.94   N/A      N/A      N/A              14.63       18.37  white noise burst               
1136584229.0-1136584236.69   18.0386  7.17418  442.268           7.66        5.35  cbc                             
1136586138.62-1136586146.69  21.9548  6.14829  405.78            9.66        7.47  cbc                             
1136587238.56-1136587246.69  23.4013  5.79737  355.013           7.47        6.15  cbc                             
1136588338.0-1136588345.62   14.8674  8.47159  456.592           6.82        6.04  cbc                             
1136589438.19-1136589445.62  11.7866  10.5907  241.487           7.10        6.83  cbc                             
1136590538.12-1136590545.62  14.4075  8.69776  266.461           5.76        5.00  cbc                             
1136591638.5-1136591646.69   17.9209  7.26288  576.033           6.63        8.33  cbc                             
1136592738.69-1136592746.69  22.77    6.00354  432.646           8.00        8.94  cbc                             
1136593838.69-1136593847.69  24.146   5.66914  440.765           8.26        8.25  cbc                             
1136594938.62-1136594946.69  22.6539  5.95035  520.89            7.31        6.44  cbc                             
1136794217.0-1136794293.25   N/A      N/A      N/A              79.14       71.00  long duration burst             
1136795417.06-1136795493.25  N/A      N/A      N/A             191.55      183.84  long duration burst             
1136796617.0-1136796693.25   N/A      N/A      N/A             131.20      127.57  long duration burst             
1136797817.06-1136797893.25  N/A      N/A      N/A             179.20      176.98  long duration burst             
1136799017.0-1136799093.25   N/A      N/A      N/A             123.07      117.86  long duration burst             
1136814617.0-1136814693.25   N/A      N/A      N/A             123.88      115.71  long duration burst             
1136880017.0-1136880093.25   N/A      N/A      N/A              77.11       70.45  long duration burst             
1136881217.06-1136881293.25  N/A      N/A      N/A             192.73      179.90  long duration burst             
1136882417.0-1136882493.25   N/A      N/A      N/A             128.37      124.70  long duration burst             
1136898017.06-1136898093.25  N/A      N/A      N/A             178.97      175.50  long duration burst             
1136899217.0-1136899293.25   N/A      N/A      N/A             124.64      114.91  long duration burst             
1136900422.56-1136900767.94  1.4      1.4      50.0007          11.77       13.18  cbc                             
1136901617.0-1136901693.25   N/A      N/A      N/A              79.22       74.68  long duration burst             
1136902817.06-1136902893.25  N/A      N/A      N/A             191.04      178.06  long duration burst             
1136904017.0-1136904093.25   N/A      N/A      N/A             132.57      129.40  long duration burst             
