IFO	GPS_start	GPS_end	     Duration	Type	M1	M2	Distance

L1	1164755435	1164755459	24	CBC	100	5	93
L1	1164765305	1164765357	52	CBC	10	10	151
L1	1164769505	1164769557	52	CBC	10	10	142
H1	1164747035	1164747075	40	CBC	10	10	151
H1	1164751235	1164751287	52	CBC	10	10	142
H1	1164755435	1164755459	24	CBC	100	5	93
H1	1165327222	1165327274	52	CBC	10	10	151
H1	1165331422	1165331474	52	CBC	10	10	142
H1	1165335622	1165335862	240	CBC	10	1.4	58
H1	1165339822	1165339838	16	CBC	50	50	483
H1	1165344022	1165345051	1029	CBC	1.4	1.4	32
H1	1165712722	1165712774	52	CBC	10	10	151
