# 1:time 2:hplus 3:hcross
1.0010400000e-02 0.0000000000e+00 0.0000000000e+00
1.0020800000e-02 -1.6927653234e-03 2.8113468892e-10
1.0031200000e-02 -1.6750645419e-03 -1.1215833300e-07
1.0041600000e-02 -7.8826668922e-05 -4.7474971077e-07
1.0052000000e-02 4.0438499126e-04 -1.8245250956e-06
1.0062400000e-02 1.9881581261e-03 -2.0086827240e-07
1.0072800000e-02 2.6799005254e-03 2.6128853146e-06
1.0083200000e-02 5.0853856059e-04 -6.0182628696e-07
1.0093600000e-02 3.0612720514e-04 -1.3321434742e-06
1.0104000000e-02 2.5933537147e-03 1.4288883018e-06
1.0114400000e-02 2.7492332609e-03 1.4393845050e-06
1.0124800000e-02 1.3169356123e-04 1.6675873625e-06
1.0135200000e-02 -1.9156136030e-03 5.6142528135e-07
1.0145600000e-02 -2.0003882023e-03 7.0462036200e-07
1.0156000000e-02 -1.8919244489e-03 -3.3510423577e-08
1.0166103079e-02 -3.2429848782e-03 3.5530066677e-07
1.0175464179e-02 -5.6069352196e-03 1.9370367302e-06
1.0184801291e-02 -7.4211493581e-03 -7.6437821253e-07
1.0194069799e-02 -8.3009365282e-03 -1.2201021479e-07
1.0203331533e-02 -8.8935187784e-03 3.2773542742e-06
1.0212594757e-02 -9.6751541362e-03 1.0252501267e-06
1.0221856622e-02 -1.0346172841e-02 -2.5445649886e-06
1.0231128698e-02 -1.0538634431e-02 -3.3669928739e-07
1.0240431337e-02 -1.0331510484e-02 1.4856947718e-08
1.0249706260e-02 -1.0010661332e-02 -1.1578334628e-06
1.0258977513e-02 -9.5774623193e-03 -1.4711535572e-06
1.0268236395e-02 -8.9372079560e-03 -5.7956262158e-07
1.0277506586e-02 -8.2452680181e-03 -9.3857219014e-07
1.0286761035e-02 -7.6709990905e-03 -5.2002674344e-07
1.0296022236e-02 -7.0884596894e-03 -8.0370005599e-07
1.0305289083e-02 -6.2336066799e-03 -3.1729228124e-06
1.0314562287e-02 -5.1141651250e-03 -7.7273666704e-07
1.0323815920e-02 -4.0701582110e-03 -4.3679171523e-07
