# 1:time 2:hplus 3:hcross
1.0010400000e-02 0.0000000000e+00 0.0000000000e+00
1.0020800000e-02 2.0659932099e-04 7.2374251815e-08
1.0031200000e-02 -2.4346234602e-04 -6.2784264627e-08
1.0041600000e-02 7.4482467496e-04 2.5386242369e-07
1.0052000000e-02 5.9620685006e-04 9.7586982599e-09
1.0062400000e-02 1.6898800083e-03 -5.1315285827e-07
1.0072800000e-02 1.5593882008e-03 -1.5543490343e-06
1.0083200000e-02 -1.4265090040e-03 -1.0161326155e-06
1.0093600000e-02 -1.9548169269e-03 -5.6905404503e-07
1.0104000000e-02 4.4953095170e-05 -1.0827175642e-06
1.0114400000e-02 -3.8759085832e-04 -2.0184015977e-07
1.0124800000e-02 -3.3445890071e-03 -1.2398702058e-06
1.0135200000e-02 -5.1690124948e-03 -2.1838467706e-06
1.0145600000e-02 -4.7425811808e-03 5.6667747427e-07
1.0155227890e-02 -4.1276124200e-03 1.9231284996e-06
1.0164491745e-02 -5.0130403370e-03 -5.7889458870e-07
1.0173968864e-02 -6.4991116846e-03 -1.1881810875e-06
1.0183358032e-02 -7.2609843704e-03 -2.1359804608e-07
1.0192641957e-02 -6.9970729680e-03 9.9100340121e-07
1.0201924403e-02 -6.4685875101e-03 1.7519417899e-06
1.0211311307e-02 -6.2498500264e-03 4.3905862122e-07
1.0220662652e-02 -6.1347902237e-03 -8.1438357642e-07
1.0230026723e-02 -5.8357936396e-03 5.8532967638e-07
1.0239340716e-02 -5.2663883923e-03 1.8546278001e-06
1.0248615563e-02 -4.6376984030e-03 5.0754571541e-07
1.0257995197e-02 -4.1273413857e-03 -6.3164635408e-08
1.0267423581e-02 -3.6662984440e-03 5.2555657964e-07
1.0276760133e-02 -3.2410877232e-03 1.0316941018e-06
1.0286036733e-02 -2.8879535657e-03 1.4130388796e-06
1.0295308519e-02 -2.5208434439e-03 7.8275033015e-07
1.0304567185e-02 -2.1079438004e-03 3.7619569876e-08
1.0313827998e-02 -1.7860831976e-03 -1.0770006426e-06
1.0323086045e-02 -1.6249763005e-03 -1.8041347934e-08
1.0332362628e-02 -1.5346494556e-03 1.0053174507e-07
1.0341623872e-02 -1.4754089548e-03 -2.1113663534e-06
1.0350883161e-02 -1.5515594843e-03 -1.2654159335e-06
1.0360161577e-02 -1.8613942989e-03 1.8042186601e-06
1.0369422881e-02 -2.3818687664e-03 8.6734476598e-07
1.0378676631e-02 -3.0108136588e-03 -1.4184546017e-06
1.0387933441e-02 -3.6742315780e-03 9.0119938388e-07
1.0397187275e-02 -4.3525464242e-03 5.2182928413e-07
1.0406446031e-02 -5.0376809991e-03 -1.4241996795e-06
1.0415710604e-02 -5.7118156188e-03 1.7268482287e-07
1.0424982398e-02 -6.3297395883e-03 1.2079430852e-06
1.0434254014e-02 -6.8279770242e-03 1.8900085740e-06
1.0443509899e-02 -7.1573613844e-03 -3.4008293532e-09
1.0452768678e-02 -7.3084116818e-03 -1.1946394997e-06
1.0462033506e-02 -7.2940735911e-03 2.5136633614e-07
1.0471289558e-02 -7.1187839359e-03 -6.8448314829e-07
1.0480547350e-02 -6.8092187165e-03 -8.5411199070e-07
1.0489816863e-02 -6.3878619668e-03 1.5760761383e-06
1.0499082943e-02 -5.8731871185e-03 1.9054744397e-06
1.0508380800e-02 -5.2990884320e-03 1.2137010773e-06
1.0517712824e-02 -4.6830736484e-03 2.1631363285e-07
1.0526984281e-02 -4.0417937121e-03 -1.6377449582e-06
1.0536280536e-02 -3.4011576391e-03 -1.1105220943e-06
1.0545572376e-02 -2.7820998133e-03 6.6646334609e-08
1.0554856966e-02 -2.2052940801e-03 -1.1633428341e-06
1.0564153139e-02 -1.6792381963e-03 -1.4536476808e-06
1.0573411474e-02 -1.2083601662e-03 -8.1566081948e-07
1.0582667356e-02 -8.0733586693e-04 -1.7086878378e-06
1.0591926070e-02 -4.8908314219e-04 -7.2341344301e-07
1.0601184758e-02 -2.6145682306e-04 1.7223680204e-07
1.0610439692e-02 -1.3557415411e-04 -1.4817629107e-06
1.0619693457e-02 -1.2374618301e-04 -9.9587409498e-07
1.0628947686e-02 -2.2658684019e-04 -1.3383102489e-06
1.0638208065e-02 -4.3247492993e-04 -1.5511360689e-06
1.0647477120e-02 -7.4897569933e-04 -8.3696591759e-07
1.0656738716e-02 -1.1953817538e-03 -3.0046535834e-06
1.0666000349e-02 -1.7673486448e-03 -2.3969893621e-06
1.0675257637e-02 -2.4366549613e-03 -1.0220634102e-06
1.0684513977e-02 -3.1552568992e-03 -1.8463692358e-06
1.0693768955e-02 -3.8704518962e-03 -2.4782391524e-06
1.0703026797e-02 -4.5498790497e-03 -1.1034339248e-06
1.0712292045e-02 -5.1735059096e-03 -2.2090703865e-07
1.0721547030e-02 -5.7077005343e-03 -1.9375679004e-06
1.0730833700e-02 -6.1024889211e-03 -2.6833923913e-06
1.0740158156e-02 -6.3271274338e-03 -2.4767450635e-06
1.0749442329e-02 -6.3989194619e-03 -7.2390565058e-07
1.0758712485e-02 -6.3452265809e-03 5.0996801641e-08
1.0767977452e-02 -6.1614567044e-03 -1.5819855337e-06
1.0777235180e-02 -5.8581159639e-03 -3.1846956391e-06
1.0786493249e-02 -5.4581359237e-03 -1.8266073261e-06
1.0795758628e-02 -4.9890907822e-03 -9.7616788342e-08
1.0805030776e-02 -4.4884912917e-03 6.3290261366e-07
1.0814289483e-02 -3.9778400897e-03 1.0379240743e-06
1.0823544509e-02 -3.4812036410e-03 4.1414816860e-07
1.0832800516e-02 -3.0143220703e-03 6.6000674739e-07
1.0842050876e-02 -2.5814575290e-03 9.9072271511e-07
1.0851303763e-02 -2.1919069420e-03 1.5903406472e-06
1.0860565213e-02 -1.8604130965e-03 1.3332968420e-06
1.0869840636e-02 -1.6042541615e-03 4.9271559823e-07
1.0879113920e-02 -1.4354326657e-03 1.2676680398e-06
1.0888394750e-02 -1.3612777392e-03 1.9712843101e-06
1.0897721227e-02 -1.3928639996e-03 2.3569440744e-06
1.0907000519e-02 -1.5533400838e-03 1.8660213117e-06
1.0916267507e-02 -1.8620206183e-03 2.1455991698e-06
1.0925576885e-02 -2.3083733020e-03 2.5474412855e-06
1.0934965738e-02 -2.8747721097e-03 1.8687705539e-06
1.0944308102e-02 -3.5373620787e-03 3.0956182569e-06
1.0953588906e-02 -4.2450592428e-03 3.4107797044e-06
1.0962867348e-02 -4.9516020593e-03 3.0108478881e-06
1.0972139999e-02 -5.6245379573e-03 2.1325178510e-06
1.0981404008e-02 -6.2241677480e-03 2.3503669484e-06
1.0990663180e-02 -6.7022111485e-03 3.8738637635e-06
1.0999916730e-02 -7.0191739901e-03 2.3148758507e-06
1.1008329780e-02 -7.1961741888e-03 -4.7845621015e-07
1.1017589701e-02 -7.2256113175e-03 6.2881721596e-07
1.1026844967e-02 -7.1081788390e-03 2.7772259943e-06
1.1036099175e-02 -6.8501719730e-03 2.4286085402e-06
1.1045354703e-02 -6.4689666062e-03 -8.8457166225e-07
1.1054610435e-02 -5.9781676126e-03 -2.8444650810e-06
1.1063867207e-02 -5.4239076677e-03 -1.4708239740e-06
1.1073123800e-02 -4.8393925533e-03 9.1895823692e-07
1.1082382361e-02 -4.2414250468e-03 1.3597942870e-06
1.1091672379e-02 -3.6409807341e-03 -3.4572828812e-07
1.1100959008e-02 -3.0460237240e-03 -7.0591224342e-07
1.1110226494e-02 -2.4620840584e-03 -1.9480466197e-07
1.1119486833e-02 -1.9013522832e-03 -6.3572865358e-07
1.1128742268e-02 -1.3898051478e-03 -1.6160278210e-06
1.1137996678e-02 -9.4350753132e-04 -7.5714179178e-07
1.1147253849e-02 -5.5449400699e-04 -3.9604968653e-06
1.1156507486e-02 -2.1283687772e-04 -6.2127017031e-06
1.1165762159e-02 6.3809825524e-05 -2.9835786254e-06
1.1175019325e-02 2.3547255405e-04 -2.1614326050e-06
1.1184273945e-02 2.6883170812e-04 -3.4971164377e-06
1.1193531632e-02 1.8028370301e-04 -4.7908281222e-06
1.1202787280e-02 -4.1607212084e-06 -2.9029157131e-06
1.1212044595e-02 -3.0031038753e-04 -2.3442231974e-06
1.1221298625e-02 -7.3285619731e-04 -2.7955364573e-06
1.1230551865e-02 -1.3159915728e-03 -2.0051054471e-06
1.1239805551e-02 -2.0210349977e-03 -3.0310742520e-06
1.1249065348e-02 -2.7894865905e-03 -2.8339879193e-06
1.1258318801e-02 -3.5691605999e-03 -1.8349332967e-06
1.1267571737e-02 -4.3260271817e-03 -2.2815332881e-06
1.1276825133e-02 -5.0470752858e-03 -2.2728233661e-06
1.1286077764e-02 -5.7061110814e-03 -8.2086844656e-07
1.1295331294e-02 -6.2557798210e-03 -1.9265383708e-06
1.1304586422e-02 -6.6458496759e-03 -2.1804339190e-06
1.1313840067e-02 -6.8557697419e-03 5.0974472758e-07
1.1323093710e-02 -6.9000195691e-03 3.7240953727e-07
1.1332347859e-02 -6.8069531909e-03 -1.3723341174e-07
1.1341600679e-02 -6.6005209774e-03 -1.1858410945e-06
1.1350855254e-02 -6.2992397817e-03 -5.6284996313e-07
1.1360113709e-02 -5.8954848488e-03 1.0992648123e-06
1.1369373087e-02 -5.3847688525e-03 8.0951490646e-07
1.1378630977e-02 -4.8206614526e-03 1.1551674843e-06
1.1387888429e-02 -4.2501313519e-03 2.3818972798e-06
1.1397142222e-02 -3.6806931122e-03 2.1231175323e-07
1.1406397165e-02 -3.1167519819e-03 -9.8942400920e-07
1.1415653255e-02 -2.5731206344e-03 1.5006341528e-06
1.1424906618e-02 -2.0713308576e-03 2.7151316205e-06
1.1434160672e-02 -1.6271713349e-03 2.9078130028e-06
1.1443413615e-02 -1.2517940258e-03 1.6031347590e-06
1.1452667957e-02 -9.5246599486e-04 1.2756640261e-06
1.1461926039e-02 -7.3650695298e-04 2.1784257658e-06
1.1471180891e-02 -6.1702137383e-04 2.5243406661e-06
1.1480437593e-02 -5.9826411426e-04 2.4288822494e-06
1.1489691058e-02 -7.0037746175e-04 1.6394787420e-06
1.1498946917e-02 -9.5843455209e-04 1.9838010395e-06
1.1508199929e-02 -1.3748783911e-03 2.2266681597e-06
1.1517453147e-02 -1.9392637200e-03 1.1329426632e-06
1.1526708518e-02 -2.6342636532e-03 3.7751542744e-07
1.1535963695e-02 -3.4186376824e-03 7.6555248961e-07
1.1545218518e-02 -4.2323798595e-03 1.2979291043e-06
1.1554477180e-02 -5.0308739514e-03 3.1761493185e-07
1.1563741822e-02 -5.7952235593e-03 -6.4139788625e-07
1.1573005309e-02 -6.4965923766e-03 -2.0261905982e-06
1.1582265001e-02 -7.0864305908e-03 -3.2251536395e-06
1.1591522822e-02 -7.5035454927e-03 -3.9728591249e-06
1.1600778310e-02 -7.7093238483e-03 -4.8682373203e-06
1.1610037518e-02 -7.7272203222e-03 -5.2626938500e-06
1.1619294007e-02 -7.5959453489e-03 -4.2504874963e-06
1.1628550428e-02 -7.3503458035e-03 -5.1502264986e-06
1.1637804291e-02 -6.9960388211e-03 -6.3256923612e-06
1.1647059665e-02 -6.5165378340e-03 -6.2873854316e-06
1.1656313124e-02 -5.9488768202e-03 -7.5142822397e-06
1.1665568216e-02 -5.3416394524e-03 -9.1495709867e-06
1.1674821512e-02 -4.7098804869e-03 -1.0560208704e-05
1.1684076325e-02 -4.0634233521e-03 -1.0476525480e-05
1.1693331832e-02 -3.4160875398e-03 -9.0761394859e-06
1.1702587386e-02 -2.7758663134e-03 -6.2495120890e-06
1.1711847198e-02 -2.1425744365e-03 -6.1646630973e-06
1.1721101294e-02 -1.5277183118e-03 -6.8209220857e-06
1.1730356656e-02 -9.5214460198e-04 -5.3180601878e-06
1.1739616425e-02 -4.2213868015e-04 -6.4351781996e-06
1.1748872492e-02 4.6430753897e-05 -6.6927280415e-06
1.1758130075e-02 4.2970078104e-04 -4.4821220844e-06
1.1767386969e-02 7.2483489161e-04 -1.8074853066e-06
1.1776641311e-02 9.2836287736e-04 4.3327384321e-07
1.1785894457e-02 1.0167112411e-03 7.0975395708e-07
1.1795149032e-02 9.7333159645e-04 1.5515641822e-06
1.1804404030e-02 7.8260682958e-04 3.6427911479e-06
1.1813658036e-02 4.4646929196e-04 5.1839276099e-06
1.1822911430e-02 -3.8384735561e-05 6.7026158056e-06
1.1832167779e-02 -6.8333923215e-04 7.9380223950e-06
1.1841423031e-02 -1.4664765891e-03 8.5503869057e-06
1.1850677110e-02 -2.3358446382e-03 1.0029486675e-05
1.1859930572e-02 -3.2271276327e-03 1.0602298116e-05
1.1869185616e-02 -4.1275136274e-03 1.1495709687e-05
1.1878438308e-02 -5.0590858380e-03 1.2493401451e-05
1.1887692821e-02 -5.9781269606e-03 1.2346004319e-05
1.1896948704e-02 -6.7695276132e-03 1.1756308215e-05
1.1906204707e-02 -7.3580693063e-03 1.0300390531e-05
