Num,Detector,type
0,H,wandering_line
1,H,wandering_line
2,H,wandering_line
3,H,wandering_line
4,L,empty
5,L,empty
6,H,empty
7,L,loud
8,H,empty
9,L,misc
10,H,empty
11,H,low_freq
12,H,empty
13,L,misc
14,H,misc
15,H,misc
16,H,empty
17,N,
18,H,misc
19,H,empty
20,L,misc
21,L,misc
22,L,empty
23,L,low_freq
24,L,low_freq
25,L,empty
26,H,misc
27,H,low_freq
28,L,scratchy
29,H,misc
30,L,empty
31,H,low_freq
32,H,low_freq
33,H,low_freq
34,L,misc
35,H,low_freq
36,L,empty
37,H,empty
38,L,empty
39,L,multi_glitch
40,L,empty
41,L,low_freq
42,H,empty
43,H,misc
44,H,misc
45,H,misc
46,L,cropped
47,L,empty
48,H,empty
49,L,empty
50,H,low_freq
51,H,misc
52,L,misc
53,L,low_freq
54,H,empty
55,L,empty
56,H,whistle
57,H,empty
58,H,low_freq
59,H,misc
60,H,misc
61,H,empty
62,L,low_freq
63,H,empty
64,H,empty
65,H,empty
66,H,low_freq
67,H,low_freq
68,H,low_freq
69,H,low_freq
70,H,empty
71,H,empty
72,H,misc
73,H,low_freq
74,H,low_freq
75,H,empty
76,H,low_freq
77,H,empty
78,H,low_freq
79,H,low_freq
80,H,empty
81,H,empty
82,L,empty
83,L,blip_type
84,L,empty
85,H,empty
86,H,empty
87,H,low_freq
88,H,misc
89,H,low_freq
90,H,empty
91,H,empty
92,H,empty
93,L,low_freq
94,H,misc
95,H,empty
96,H,empty
97,H,empty
98,L,empty
99,H,empty
100,H,empty
101,L,empty
102,H,empty
103,L,misc
104,H,loud
105,H,loud
106,H,wandering_line
107,H,multi_glitch
108,H,multi_glitch
109,H,multi_glitch
110,H,loud
111,H,multi_glitch
112,H,empty
113,L,empty
114,L,low_freq
115,L,low_freq
116,L,empty
117,H,wandering_line
118,H,wandering_line
119,H,wandering_line
120,H,misc
121,L,empty
122,H,multi_glitch
123,H,multi_glitch
124,H,multi_glitch
125,H,multi_glitch
126,H,multi_glitch
127,H,multi_glitch
128,H,multi_glitch
129,H,multi_glitch
130,H,multi_glitch
131,H,multi_glitch
132,H,multi_glitch
133,H,multi_glitch
134,H,multi_glitch
135,H,multi_glitch
136,H,multi_glitch
137,H,multi_glitch
138,H,multi_glitch
139,H,multi_glitch
140,H,multi_glitch
141,H,multi_glitch
142,H,multi_glitch
143,H,multi_glitch
144,H,multi_glitch
145,H,misc
146,H,misc
147,H,wandering_line
148,H,misc
149,H,misc
150,H,misc
151,H,harmonics
152,H,wandering_line
153,H,misc
154,H,wandering_line
155,H,loud
156,H,loud
157,H,multi_glitch
158,H,wandering_line
159,H,multi_glitch
160,L,empty
161,L,low_freq
162,H,misc
163,H,multi_glitch
164,L,empty
165,L,empty
166,H,empty
167,H,low_freq
168,L,empty
169,H,empty
170,H,empty
171,H,blip_type
172,H,blip_type
173,H,empty
174,H,empty
175,H,empty
176,L,injection
177,L,injection
178,L,injection
179,L,low_freq
180,L,injection
181,L,injection
182,L,injection
183,L,injection
184,L,empty
185,L,injection
186,L,injection
187,L,injection
188,H,low_freq
189,B,injection
190,H,injection
191,H,injection
192,L,injection
193,L,injection
194,L,injection
195,H,injection
196,H,injection
197,H,injection
198,H,misc
199,L,injection
200,L,injection
201,H,injection
202,H,injection
203,H,injection
204,L,injection
205,L,empty
206,H,empty
207,H,1080lines
208,H,multi_glitch
209,H,misc
210,L,empty
211,H,low_freq
212,L,low_freq
213,H,misc
214,H,multi_glitch
215,H,misc
216,L,misc
217,L,low_freq
218,H,low_freq
219,H,low_freq
220,L,low_freq
221,L,1080lines
222,L,empty
223,L,misc
224,H,cropped
225,L,misc
226,L,low_freq
227,L,low_freq
228,L,low_freq
229,L,low_freq
230,L,misc
231,L,misc
232,L,misc
233,H,low_freq
234,L,empty
235,L,empty
236,L,empty
237,L,misc
238,L,misc
239,L,low_freq
240,L,low_freq
241,L,low_freq
242,H,empty
243,L,low_freq
244,L,empty
245,L,low_freq
246,H,misc
247,L,cropped
248,L,low_freq
249,H,cropped
250,L,misc
251,L,low_freq
252,L,low_freq
253,L,misc
254,H,empty
255,N,
256,N,
257,N,
258,L,misc
259,L,misc
260,L,cropped
261,L,misc
262,L,cropped
263,L,cropped
264,L,empty
265,L,empty
266,L,low_freq
267,H,empty
268,L,empty
269,H,low_freq
270,L,empty
271,H,low_freq
272,H,empty
273,L,low_freq
274,L,low_freq
275,L,empty
276,L,misc
277,L,low_freq
278,L,misc
279,L,low_freq
280,H,cropped
281,H,cropped
282,L,misc
283,L,low_freq
284,L,low_freq
285,L,violin_mode
286,L,violin_mode
287,L,low_freq
288,H,empty
289,L,low_freq
290,L,empty
291,L,low_freq
292,L,whistle
293,L,whistle
294,L,whistle
295,L,whistle
296,L,whistle
297,L,low_freq
298,L,whistle
299,L,misc
300,L,low_freq
301,L,empty
302,L,whistle
303,L,whistle
304,L,whistle
305,L,low_freq
306,L,whistle
307,L,empty
308,L,whistle
309,L,empty
310,L,whistle
311,L,low_freq
312,L,whistle
313,L,cropped
314,L,misc
315,L,empty
316,L,whistle
317,L,whistle
318,L,whistle
319,L,empty
320,L,empty
321,H,low_freq
322,L,low_freq
323,L,empty
324,H,multi_glitch
325,L,low_freq
326,L,cropped
327,L,low_freq
328,H,empty
329,L,empty
330,L,low_freq
331,L,low_freq
332,L,empty
333,H,low_freq
334,L,low_freq
335,H,empty
336,L,multi_glitch
337,L,low_freq
338,L,empty
339,L,low_freq
340,L,empty
341,L,empty
342,L,empty
343,L,empty
344,L,low_freq
345,L,low_freq
346,L,empty
347,L,empty
348,L,low_freq
349,L,empty
350,L,empty
351,L,empty
352,L,empty
353,L,empty
354,L,empty
355,L,misc
356,H,empty
357,L,low_freq
358,L,empty
359,H,misc
360,H,empty
361,L,multi_glitch
362,L,empty
363,L,empty
364,H,empty
365,L,empty
366,L,empty
367,L,low_freq
368,H,cropped
369,H,empty
370,L,empty
371,L,empty
372,L,empty
373,H,empty
374,L,low_freq
375,H,empty
376,L,empty
377,L,empty
378,L,misc
379,H,empty
380,H,empty
381,L,low_freq
