,h_rss
0,4.318017262481975e-22
1,4.509990302862585e-22
2,4.561881879316108e-22
3,4.458988846732605e-22
4,4.718485647979109e-22
5,4.472010359345721e-22
6,4.327661865161807e-22
7,3.9848391592429754e-22
8,3.66071833705285e-22
9,3.390217425391997e-22
10,2.624487312850191e-22
11,2.0366373344310383e-22
12,1.844983385428558e-22
13,2.1991851257640565e-22
14,1.9572986711307932e-22
15,1.9932790279017995e-22
16,1.7921673647080436e-22
17,2.226760509578224e-22
18,2.50878433935346e-22
19,3.075116607470251e-22
