,f0,Q,A,f1,a,f2
0,30,3,5E-22,600,0.6,60
1,30,3,1E-21,600,0.6,60
2,30,3,2E-21,600,0.6,60
3,30,3,3E-21,600,0.6,60
4,30,9,5E-22,600,0.6,60
5,30,9,1E-21,600,0.6,60
6,30,9,2E-21,600,0.6,60
7,30,9,3E-21,600,0.6,60
8,30,100,5E-22,600,0.6,60
9,30,100,1E-21,600,0.6,60
10,30,100,2E-21,600,0.6,60
11,30,100,3E-21,600,0.6,60
12,70,9,5E-22,1400,0.2,84
13,70,9,1E-21,1400,0.2,84
14,70,9,2E-21,1400,0.2,84
15,70,9,3E-21,1400,0.2,84
16,70,100,5E-22,1400,0.2,84
17,70,100,1E-21,1400,0.2,84
18,70,100,2E-21,1400,0.2,84
19,70,100,3E-21,1400,0.2,84
