,f0,Q,A,f1
0,30,3,1E-21,15
1,30,3,2E-21,15
2,30,3,3E-21,15
3,30,3,4E-21,15
4,30,9,1E-21,15
5,30,9,2E-21,15
6,30,9,3E-21,15
7,30,9,4E-21,15
8,30,100,1E-21,15
9,30,100,2E-21,15
10,30,100,3E-21,15
11,30,100,4E-21,15
12,30,1000,1E-21,15
13,30,1000,2E-21,15
14,30,1000,3E-21,15
15,30,1000,4E-21,15
16,70,3,1E-21,35
17,70,3,2E-21,35
18,70,3,3E-21,35
19,70,3,4E-21,35
20,70,9,1E-21,35
21,70,9,2E-21,35
22,70,9,3E-21,35
23,70,9,4E-21,35
24,70,100,1E-21,35
25,70,100,2E-21,35
26,70,100,3E-21,35
27,70,100,4E-21,35
28,70,1000,1E-21,35
29,70,1000,2E-21,35
30,70,1000,3E-21,35
31,70,1000,4E-21,35
32,235,3,1E-21,117.5
33,235,3,2E-21,117.5
34,235,3,3E-21,117.5
35,235,3,4E-21,117.5
36,235,9,1E-21,117.5
37,235,9,2E-21,117.5
38,235,9,3E-21,117.5
39,235,9,4E-21,117.5
40,235,100,1E-21,117.5
41,235,100,2E-21,117.5
42,235,100,3E-21,117.5
43,235,100,4E-21,117.5
44,235,1000,1E-21,117.5
45,235,1000,2E-21,117.5
46,235,1000,3E-21,117.5
47,235,1000,4E-21,117.5
48,849,3,1E-21,424.5
49,849,3,2E-21,424.5
50,849,3,3E-21,424.5
51,849,3,4E-21,424.5
52,849,9,1E-21,424.5
53,849,9,2E-21,424.5
54,849,9,3E-21,424.5
55,849,9,4E-21,424.5
56,849,100,1E-21,424.5
57,849,100,2E-21,424.5
58,849,100,3E-21,424.5
59,849,100,4E-21,424.5
60,849,1000,1E-21,424.5
61,849,1000,2E-21,424.5
62,849,1000,3E-21,424.5
63,849,1000,4E-21,424.5
64,1615,3,1E-21,807.5
65,1615,3,2E-21,807.5
66,1615,3,3E-21,807.5
67,1615,3,4E-21,807.5
68,1615,9,1E-21,807.5
69,1615,9,2E-21,807.5
70,1615,9,3E-21,807.5
71,1615,9,4E-21,807.5
72,1615,100,1E-21,807.5
73,1615,100,2E-21,807.5
74,1615,100,3E-21,807.5
75,1615,100,4E-21,807.5
76,1615,1000,1E-21,807.5
77,1615,1000,2E-21,807.5
78,1615,1000,3E-21,807.5
79,1615,1000,4E-21,807.5
80,2000,100,1E-21,1000
81,2000,100,2E-21,1000
82,2000,100,3E-21,1000
83,2000,100,4E-21,1000
84,2000,1000,1E-21,1000
85,2000,1000,2E-21,1000
86,2000,1000,3E-21,1000
87,2000,1000,4E-21,1000
