,f0,tau,A,h_rss,h_rss_crop,S,N
0,30,0.001,4.5e-20,6.58977637847663e-23,6.551141475484847e-23,4.2917454631817776e-45,9.724532752388394e-40
1,30,0.001,5e-20,7.321973753862921e-23,7.279046083872051e-23,5.298451189113305e-45,9.724532752388394e-40
2,30,0.001,5.500000000000001e-20,8.054171129249214e-23,8.006950692259258e-23,6.411125938827102e-45,9.724532752388394e-40
3,30,0.001,5.999999999999999e-20,8.786368504635505e-23,8.734855300646462e-23,7.629769712323159e-45,9.724532752388394e-40
4,30,0.2,1.0000000000000001e-21,1.1176408603005647e-22,1.1174533811869206e-22,1.248702059126081e-44,8.520925065597142e-38
5,30,0.2,1.5e-21,1.6764612904508477e-22,1.6761800717803807e-22,2.809579633033682e-44,8.520925065597142e-38
6,30,0.2,2.0000000000000002e-21,2.2352817206011294e-22,2.2349067623738413e-22,4.994808236504324e-44,8.520925065597142e-38
7,30,0.2,2.5000000000000002e-21,2.794102150751415e-22,2.793633452967301e-22,7.804387869538006e-44,8.520925065597142e-38
8,30,0.5,6e-22,1.0606004724622955e-22,1.0604225616254602e-22,1.1244960092043031e-44,1.636690737968687e-37
9,30,0.5,7.999999999999999e-22,1.4141339632830684e-22,1.4138967488339472e-22,1.9991040163632058e-44,1.636690737968687e-37
10,30,0.5,1.0000000000000001e-21,1.7676674541038326e-22,1.7673709360424343e-22,3.12360002556751e-44,1.636690737968687e-37
11,30,0.5,1.2e-21,2.121200944924591e-22,2.1208451232509204e-22,4.497984036817213e-44,1.636690737968687e-37
12,30,1.0,3.9999999999999997e-22,9.999859277793206e-23,9.998181847547056e-23,9.996364025661946e-45,2.874325635968076e-37
13,30,1.0,6e-22,1.4999788916689678e-22,1.499727277132058e-22,2.2491819057739367e-44,2.874325635968076e-37
14,30,1.0,7.999999999999999e-22,1.9999718555586412e-22,1.9996363695094111e-22,3.9985456102647783e-44,2.874325635968076e-37
15,30,1.0,1.0000000000000001e-21,2.4999648194482945e-22,2.4995454618867634e-22,6.247727516038714e-44,2.874325635968076e-37
16,70,0.001,2.0000000000000002e-20,6.365684508863491e-23,6.353824891758675e-23,4.0371090755132144e-45,9.724532752388394e-40
17,70,0.001,2.9999999999999997e-20,9.548526763295234e-23,9.53073733763801e-23,9.083495419904727e-45,9.724532752388394e-40
18,70,0.001,4.0000000000000004e-20,1.2731369017726982e-22,1.270764978351735e-22,1.6148436302052858e-44,9.724532752388394e-40
19,70,0.001,5e-20,1.5914211272158723e-22,1.5884562229396683e-22,2.5231931721957574e-44,9.724532752388394e-40
20,70,0.2,5.0000000000000005e-22,5.589808732642417e-23,5.588871067510762e-23,3.123547980925888e-45,8.520925065597142e-38
21,70,0.2,7.000000000000001e-22,7.825732225699376e-23,7.824419494515065e-23,6.122154042614739e-45,8.520925065597142e-38
22,70,0.2,7.999999999999999e-22,8.94369397222787e-23,8.942193708017216e-23,7.996282831170268e-45,8.520925065597142e-38
23,70,0.2,9e-22,1.0061655718756355e-22,1.0059967921519367e-22,1.0120295458199871e-44,8.520925065597142e-38
24,70,0.5,5.0000000000000005e-22,8.838743369835731e-23,8.83726071125332e-23,7.809717687866155e-45,1.636690737968687e-37
25,70,0.5,6e-22,1.0606492043802855e-22,1.060471285350398e-22,1.1245993470527254e-44,1.636690737968687e-37
26,70,0.5,7.000000000000001e-22,1.2374240717770026e-22,1.2372164995754646e-22,1.5307046668217655e-44,1.636690737968687e-37
27,70,0.5,7.999999999999999e-22,1.414198939173719e-22,1.4139617138005308e-22,1.9992877280937345e-44,1.636690737968687e-37
28,70,1.0,5.0000000000000005e-22,1.2499967682151766e-22,1.2497870870149416e-22,1.561967762869293e-44,2.874325635968076e-37
