,f0,Q,A,h_rss,h_rss_crop,S,N
0,70,100,1.0000000000000001e-20,2.2444168498659307e-21,2.244416849309252e-21,5.0374069934632697e-42,2.046609207001098e-37
1,70,100,1.1000000000000001e-20,2.468858534852524e-21,2.4688585342401773e-21,6.095262462090557e-42,2.046609207001098e-37
2,70,100,1.2e-20,2.693300219839117e-21,2.693300219171102e-21,7.253866070587106e-42,2.046609207001098e-37
3,235,100,1.1000000000000001e-20,1.3474457673655923e-21,1.3474457673655923e-21,1.81561009599145e-42,2.046609207001098e-37
4,235,100,1.2e-20,1.4699408371261005e-21,1.4699408371261005e-21,2.1607260646509813e-42,2.046609207001098e-37
5,235,100,1.3000000000000001e-20,1.5924359068866092e-21,1.5924359068866092e-21,2.5358521175417774e-42,2.046609207001098e-37
6,554,9,9.000000000000001e-21,2.154077985491765e-22,2.154077985491765e-22,4.640051967580262e-44,2.046609207001098e-37
7,554,9,1.1000000000000001e-20,2.632761982267713e-22,2.632761982267713e-22,6.931435655274219e-44,2.046609207001098e-37
8,554,9,1.3000000000000001e-20,3.1114459790436613e-22,3.1114459790436613e-22,9.681096080506967e-44,2.046609207001098e-37
9,849,3,2.2000000000000003e-19,2.455586311707133e-21,2.455586311707133e-21,6.029904134243441e-42,2.046609207001098e-37
10,849,3,2.3999999999999997e-19,2.6788214309532354e-21,2.6788214309532354e-21,7.17608425893434e-42,2.046609207001098e-37
11,849,3,2.5999999999999996e-19,2.9020565501993383e-21,2.9020565501993383e-21,8.421932220554885e-42,2.046609207001098e-37
12,1615,100,1.0000000000000001e-20,4.672682549842272e-22,4.672682549842272e-22,2.1833962211600483e-43,2.046609207001098e-37
13,1615,100,1.2e-20,5.607219059810726e-22,5.607219059810726e-22,3.1440905584704683e-43,2.046609207001098e-37
14,1615,100,1.3999999999999998e-20,6.54175556977918e-22,6.54175556977918e-22,4.279456593473693e-43,2.046609207001098e-37
15,2000,3,1e-19,7.272293033891865e-22,7.272293033891865e-22,5.288624597079215e-43,2.046609207001098e-37
16,2000,3,1.1999999999999999e-19,8.726751640670237e-22,8.726751640670237e-22,7.615619419794068e-43,2.046609207001098e-37
17,2000,3,1.4e-19,1.0181210247448613e-21,1.0181210247448613e-21,1.0365704210275264e-42,2.046609207001098e-37
