,H,L
0,1127032172.4198852,1127032172.4102118
1,1136359941.689092,1136359941.6853836
2,1126091710.9826784,1126091710.9812067
3,1126580746.7733612,1126580746.7655914
4,1126651499.1259708,1126651499.1182995
5,1135490463.8336015,1135490463.839512
6,1126817128.146598,1126817128.139517
7,1126316494.283822,1126316494.291178
8,1135543095.1890192,1135543095.1862752
9,1126871480.44577,1126871480.4530063
10,1136216891.984123,1136216891.9865913
11,1126653482.9882443,1126653482.9820545
12,1128662883.803628,1128662883.8069396
13,1135218271.2057788,1135218271.2005317
14,1126312062.5754344,1126312062.5720072
15,1126809021.3529894,1126809021.358325
16,1126325603.2417133,1126325603.2449214
17,1135649555.3326435,1135649555.3271537
18,1137218470.755156,1137218470.7464197
19,1126079549.5144083,1126079549.520948
20,1136013118.4116783,1136013118.403806
21,1135914726.0311,1135914726.033761
22,1135221181.6258154,1135221181.632324
23,1135583322.1771197,1135583322.1817083
24,1127011339.6279104,1127011339.618299
25,1136295157.3639424,1136295157.3544183
26,1128669498.1754184,1128669498.1785688
27,1135472200.5810008,1135472200.5870616
28,1135535125.9085019,1135535125.911894
29,1126805043.689354,1126805043.6930575
30,1127039770.1167526,1127039770.111899
31,1135942514.1257968,1135942514.135104
32,1126674355.4217577,1126674355.418598
33,1136381259.5343645,1136381259.5392604
34,1126816764.5219808,1126816764.5318418
35,1137211811.6575358,1137211811.6526778
36,1136267621.422255,1136267621.4260545
37,1136518052.3411763,1136518052.33915
38,1135825436.383611,1135825436.3897614
39,1135476976.896179,1135476976.904567
40,1135890151.005319,1135890150.9967246
41,1137218250.5240262,1137218250.5210814
42,1135878245.0742447,1135878245.0713027
43,1126326907.9111927,1126326907.9087377
44,1135137857.0314004,1135137857.0257607
45,1126674344.4519856,1126674344.4446604
46,1126581477.330101,1126581477.3348176
47,1136625720.1644702,1136625720.1641421
48,1126821866.1990054,1126821866.207824
49,1135186031.765246,1135186031.7613156
50,1136619491.9476082,1136619491.9542062
51,1135796898.2131631,1135796898.2193427
52,1126802821.7035055,1126802821.7124314
53,1127037501.4930334,1127037501.4917347
54,1135136805.8624012,1135136805.8659322
55,1126097801.8193834,1126097801.8134983
56,1127049639.200175,1127049639.2049005
57,1135797192.7007036,1135797192.7015696
58,1126885072.7903063,1126885072.7858207
59,1126091043.8258255,1126091043.824414
60,1135552710.5529094,1135552710.552438
61,1126940923.2919846,1126940923.2874
62,1135644113.4459693,1135644113.4432755
63,1127048846.9578147,1127048846.9617803
64,1127056440.4194741,1127056440.4213572
65,1136606380.6844096,1136606380.6793287
66,1135827212.9192042,1135827212.925225
67,1136819093.9356132,1136819093.9369063
68,1128662268.0669148,1128662268.0589685
69,1135780765.2891753,1135780765.2945302
70,1136491080.5046635,1136491080.5024867
71,1135986299.184102,1135986299.1835933
72,1127068470.1593478,1127068470.157779
73,1126599229.3814554,1126599229.38875
74,1135482498.5622985,1135482498.5527523
75,1126600128.7228386,1126600128.715668
76,1136589820.5486872,1136589820.548429
77,1137245860.365263,1137245860.3605208
78,1135745948.2664485,1135745948.2756655
79,1135890109.2294083,1135890109.2388227
80,1135645195.3448675,1135645195.3416893
81,1135715359.7093914,1135715359.711275
82,1136615819.6377673,1136615819.6469564
83,1136589246.8380613,1136589246.8413389
84,1135923492.1074636,1135923492.1106625
85,1135973130.4519274,1135973130.4523618
86,1135216588.3571563,1135216588.3497238
87,1127061053.6458735,1127061053.651375
88,1136822292.038063,1136822292.0413377
89,1136484828.9592333,1136484828.964882
90,1126932037.6222303,1126932037.6178765
91,1136824578.3957102,1136824578.3899906
92,1126659279.2956069,1126659279.3038788
93,1136551098.633484,1136551098.64188
94,1135538377.432668,1135538377.4252756
95,1126262898.573849,1126262898.5795531
96,1126808483.323848,1126808483.3275745
97,1135802327.0795293,1135802327.0855167
98,1135957159.8973417,1135957159.9025366
99,1126656850.4562206,1126656850.4601429
