Num,Detector,type
0,L,blip_type
1,B,GW150914
2,H,blip_type
3,H,misc
4,L,misc
5,H,injection
6,B,injection
7,H,injection
8,L,injection
9,B,injection
10,B,injection
11,B,injection
12,B,injection
13,B,injection
14,B,injection
15,B,injection
16,H,injection
17,B,injection
18,L,injection
19,B,injection
20,B,injection
21,B,injection
22,B,injection
23,B,injection
24,B,injection
25,B,injection
26,L,blip_type
27,L,misc
28,L,blip_type
29,L,blip_type
30,H,misc
31,L,blip_type
32,L,blip_type
33,H,blip_type
34,H,blip_type
35,H,blip_type
36,H,misc
37,H,misc
38,H,misc
39,H,misc
40,H,misc
41,H,misc
42,H,misc
43,H,misc
44,H,misc
45,H,blip_type
46,H,misc
47,H,misc
48,H,blip_type
49,H,misc
50,H,misc
51,H,misc
52,H,misc
53,H,blip_type
54,H,blip_type
55,H,injection
56,H,blip_type
57,L,blip_type
58,L,blip_type
59,L,misc
60,H,blip_type
61,N,
62,H,blip_type
63,L,blip_type
64,H,blip_type
65,L,misc
66,L,misc
67,L,blip_type
68,L,misc
69,L,blip_type
70,L,blip_type
71,L,blip_type
72,L,GW170809
73,L,GW170814
74,H,blip_type
